txn_id,date,from_clabe,to_clabe,amount,reference,channel
BNK-00313,2026-04-06,646180000006704697,646180000010030674,74564.80,Pago factura INV-00027,SPEI
BNK-00377,2026-02-01,646180000006704697,646180000009555539,23443.60,Pago factura INV-00160,SPEI
BNK-00276,2026-03-26,646180000006704697,646180000007496593,88084.60,Pago factura INV-00091,SPEI
BNK-00045,2026-06-28,646180000006704697,646180000009397153,66283.56,Pago factura INV-00299,SPEI
BNK-00055,2026-02-22,646180000006704697,646180000009713915,102555.60,Pago factura INV-00328,SPEI
BNK-00013,2026-02-12,646180000006704697,646180000007179836,83989.80,Pago factura INV-00353,SPEI
BNK-00146,2026-03-12,646180000006704697,646180000006863075,15175.58,Pago factura INV-00368,SPEI
BNK-00159,2026-06-27,646180000006704697,646180000008130117,16125.16,Pago factura INV-00175,SPEI
BNK-00380,2026-06-01,646180000006704697,646180000010426628,97964.32,Pago factura INV-00240,SPEI
BNK-00071,2026-03-19,646180000006704697,646180000007417404,47127.32,Pago factura INV-00279,SPEI
BNK-00012,2026-03-26,646180000006704697,646180000009951489,23280.04,Pago factura INV-00068,SPEI
BNK-00334,2026-05-06,646180000006704697,646180000009001203,95626.92,Pago factura INV-00134,SPEI
BNK-00019,2026-03-14,646180000006704697,646180000008605257,91548.36,Pago factura INV-00229,SPEI
BNK-00192,2026-06-05,646180000006704697,646180000007971733,15129.88,Pago factura INV-00011,SPEI
BNK-00072,2026-01-12,646180000006704697,646180000006863075,15175.58,Pago factura INV-00034,SPEI
BNK-00026,2026-06-03,646180000006704697,646180000007971733,86183.36,Pago factura INV-00270,SPEI
BNK-00343,2026-05-16,646180000006704697,646180000009080392,93531.96,Pago factura INV-00244,SPEI
BNK-00325,2026-06-13,646180000006704697,646180000008050925,96675.56,Pago factura INV-00132,SPEI
BNK-00084,2026-06-24,646180000006704697,646180000008130117,16491.72,Pago factura INV-00094,SPEI
BNK-00225,2026-03-13,646180000006704697,646180000009872296,60127.44,Pago factura INV-00211,SPEI
BNK-00087,2026-06-02,646180000006704697,646180000010426628,21588.76,Pago factura INV-00350,SPEI
BNK-00008,2026-01-20,646180000006704697,646180000007021450,105925.40,Pago factura INV-00282,SPEI
BNK-00127,2026-04-05,646180000006704697,646180000008763636,90078.64,Pago factura INV-00020,SPEI
BNK-00061,2026-03-25,646180000006704697,646180000009951489,67740.52,Pago factura INV-00325,SPEI
BNK-00353,2026-01-27,646180000006704697,646180000008288496,108353.28,Pago factura INV-00048,SPEI
BNK-00243,2026-04-15,646180000006704697,646180000010109864,90150.56,Pago factura INV-00124,SPEI
BNK-00215,2026-03-06,646180000006704697,646180000007338211,35080.72,Pago factura INV-00039,SPEI
BNK-00043,2026-01-29,646180000006704697,646180000008288496,32310.64,Pago factura INV-00176,SPEI
BNK-00339,2026-03-09,646180000006704697,646180000007338211,81280.04,Pago factura INV-00369,SPEI
BNK-00317,2026-05-08,646180000006704697,646180000009001203,34202.60,Pago factura INV-00276,SPEI
BNK-00116,2026-06-10,646180000006704697,646180000009238775,72321.36,Pago factura INV-00022,SPEI
BNK-00256,2026-02-13,646180000006704697,646180000007179836,69305.36,Pago factura INV-00258,SPEI
BNK-00216,2026-03-23,646180000006704697,646180000006783883,9488.80,Pago factura INV-00365,SPEI
BNK-00270,2026-01-28,646180000006704697,646180000009555539,51239.52,Pago factura INV-00151,SPEI
BNK-00266,2026-05-26,646180000006704697,646180000007892540,25509.56,Pago factura INV-00057,SPEI
BNK-00065,2026-03-27,646180000006704697,646180000007496593,25725.32,Pago factura INV-00348,SPEI
BNK-00202,2026-01-21,646180000006704697,646180000007021450,90459.12,Pago factura INV-00104,SPEI
BNK-00222,2026-06-30,646180000006704697,646180000009397153,55570.96,Pago factura INV-00128,SPEI
BNK-00142,2026-01-26,646180000006704697,646180000008288496,107700.20,Pago factura INV-00087,SPEI
BNK-00226,2026-02-10,646180000006704697,646180000007179836,77062.28,Pago factura INV-00207,SPEI
BNK-00092,2026-04-19,646180000006704697,646180000010109864,19012.40,Pago factura INV-00086,SPEI
BNK-00020,2026-03-11,646180000006704697,646180000007338211,14348.04,Pago factura INV-00189,SPEI
BNK-00047,2026-06-01,646180000006704697,646180000007971733,34259.44,Pago factura INV-00181,SPEI
BNK-00098,2026-06-21,646180000006704697,646180000009317968,89622.76,Pago factura INV-00358,SPEI
BNK-00034,2026-05-07,646180000006704697,646180000009001203,95155.96,Pago factura INV-00185,SPEI
BNK-00109,2026-03-08,646180000006704697,646180000007338211,69286.80,Pago factura INV-00247,SPEI
BNK-00198,2026-04-11,646180000006704697,646180000008842829,58303.92,Pago factura INV-00139,SPEI
BNK-00237,2026-05-15,646180000006704697,646180000007813354,55304.16,Pago factura INV-00077,SPEI
BNK-00342,2026-06-03,646180000006704697,646180000010426628,19936.92,Pago factura INV-00201,SPEI
BNK-00349,2026-05-23,646180000006704697,646180000006942268,19998.40,Pago factura INV-00085,SPEI
BNK-00264,2026-05-20,646180000006704697,646180000010347435,23704.60,Pago factura INV-00277,SPEI
BNK-00251,2026-06-22,646180000006704697,646180000010585006,76022.92,Pago factura INV-00084,SPEI
BNK-00200,2026-04-18,646180000006704697,646180000011297717,49300.00,Pago factura INV-00023,SPEI
BNK-00220,2026-06-30,646180000006704697,646180000010664192,86302.84,Pago factura INV-00283,SPEI
BNK-00076,2026-03-05,646180000006704697,646180000009793100,66930.84,Pago factura INV-00281,SPEI
BNK-00081,2026-03-22,646180000006704697,646180000007417404,105408.04,Pago factura INV-00148,SPEI
BNK-00265,2026-06-27,646180000006704697,646180000009397153,83103.56,Pago factura INV-00297,SPEI
BNK-00228,2026-03-04,646180000006704697,646180000007338211,104591.40,Pago factura INV-00028,SPEI
BNK-00171,2026-06-29,646180000006704697,646180000009397153,94232.60,Pago factura INV-00202,SPEI
BNK-00212,2026-03-03,646180000006704697,646180000009793100,105027.56,Pago factura INV-00318,SPEI
BNK-00002,2026-02-24,646180000006704697,646180000007259028,105967.16,Pago factura INV-00271,SPEI
BNK-00107,2026-04-10,646180000006704697,646180000007575786,33130.76,Pago factura INV-00063,SPEI
BNK-00366,2026-03-30,646180000006704697,646180000007496593,108629.36,Pago factura INV-00053,SPEI
BNK-00323,2026-03-11,646180000006704697,646180000008605257,40917.84,Pago factura INV-00169,SPEI
BNK-00224,2026-01-29,646180000006704697,646180000009555539,23565.40,Pago factura INV-00266,SPEI
BNK-00123,2026-04-01,646180000006704697,646180000007496593,29650.76,Pago factura INV-00076,SPEI
BNK-00290,2026-04-07,646180000006704697,646180000011060148,46400.00,Pago factura INV-00173,SPEI
BNK-00259,2026-03-07,646180000006704697,646180000007338211,60802.56,Pago factura INV-00121,SPEI
BNK-00125,2026-04-13,646180000006704697,646180000011218521,69600.00,Pago factura INV-00143,SPEI
BNK-00384,2026-03-04,646180000006704697,646180000009793100,90053.12,Pago factura INV-00105,SPEI
BNK-00170,2026-06-15,646180000006704697,646180000006863075,25292.64,Pago factura INV-00016,SPEI
BNK-00373,2026-04-19,646180000006704697,646180000007654979,50668.80,Pago factura INV-00074,SPEI
BNK-00044,2026-02-23,646180000006704697,646180000007259028,32628.48,Pago factura INV-00290,SPEI
BNK-00286,2026-06-20,646180000006704697,646180000009317968,97069.96,Pago factura INV-00243,SPEI
BNK-00302,2026-04-11,646180000006704697,646180000007575786,27597.56,Pago factura INV-00333,SPEI
BNK-00234,2026-01-23,646180000006704697,646180000008288496,41460.72,Pago factura INV-00192,SPEI
BNK-00088,2026-02-08,646180000006704697,646180000009634722,61670.24,Pago factura INV-00194,SPEI
BNK-00029,2026-06-09,646180000006704697,646180000009238775,77461.32,Pago factura INV-00352,SPEI
BNK-00147,2026-03-12,646180000006704697,646180000009872296,68354.16,Pago factura INV-00345,SPEI
BNK-00106,2026-05-27,646180000006704697,646180000009159582,24704.52,Pago factura INV-00268,SPEI
BNK-00164,2026-04-12,646180000006704697,646180000008842829,82000.40,Pago factura INV-00114,SPEI
BNK-00124,2026-04-02,646180000006704697,646180000008763636,15939.56,Pago factura INV-00354,SPEI
BNK-00379,2026-06-25,646180000006704697,646180000010585006,78370.76,Pago factura INV-00070,SPEI
BNK-00053,2026-02-27,646180000006704697,646180000007259028,93016.92,Pago factura INV-00203,SPEI
BNK-00059,2026-06-19,646180000006704697,646180000010585006,17875.60,Pago factura INV-00370,SPEI
BNK-00365,2026-06-11,646180000006704697,646180000008050925,19238.60,Pago factura INV-00339,SPEI
BNK-00278,2026-02-24,646180000006704697,646180000009713915,35955.36,Pago factura INV-00056,SPEI
BNK-00230,2026-04-09,646180000011060148,646180000006704697,46400.00,Reembolso proveedor INV-00173,SPEI
BNK-00178,2026-05-01,646180000006704697,646180000010189059,43909.48,Pago factura INV-00303,SPEI
BNK-00248,2026-02-11,646180000006704697,646180000007179836,38865.80,Pago factura INV-00288,SPEI
BNK-00154,2026-04-10,646180000006704697,646180000008842829,103829.28,Pago factura INV-00089,SPEI
BNK-00195,2026-04-16,646180000006704697,646180000008842829,105885.96,Pago factura INV-00302,SPEI
BNK-00103,2026-06-30,646180000006704697,646180000008209307,80737.16,Pago factura INV-00230,SPEI
BNK-00021,2026-05-05,646180000006704697,646180000009001203,37726.68,Pago factura INV-00342,SPEI
BNK-00324,2026-02-02,646180000006704697,646180000009555539,28371.28,Pago factura INV-00253,SPEI
BNK-00316,2026-02-24,646180000006704697,646180000010743385,83652.24,Pago factura INV-00025,SPEI
BNK-00333,2026-05-01,646180000006704697,646180000007734161,81201.16,Pago factura INV-00261,SPEI
BNK-00239,2026-02-18,646180000006704697,646180000009713915,73040.56,Pago factura INV-00064,SPEI
BNK-00273,2026-06-30,646180000006704697,646180000009476346,87825.92,Pago factura INV-00359,SPEI
BNK-00086,2026-02-05,646180000006704697,646180000008367689,108576.00,Pago factura INV-00033,SPEI
BNK-00246,2026-05-17,646180000006704697,646180000010347435,81146.64,Pago factura INV-00228,SPEI
BNK-00035,2026-06-14,646180000006704697,646180000008050925,61011.36,Pago factura INV-00245,SPEI
BNK-00167,2026-05-31,646180000006704697,646180000007971733,57704.20,Pago factura INV-00205,SPEI
BNK-00357,2026-06-30,646180000006704697,646180000010664192,18720.08,Pago factura INV-00117,SPEI
BNK-00285,2026-06-16,646180000006704697,646180000008050925,18975.28,Pago factura INV-00254,SPEI
BNK-00163,2026-03-16,646180000006704697,646180000009872296,100427.00,Pago factura INV-00052,SPEI
BNK-00369,2026-06-21,646180000006704697,646180000010585006,98124.40,Pago factura INV-00127,SPEI
BNK-00235,2026-03-16,646180000006704697,646180000007417404,80709.32,Pago factura INV-00272,SPEI
BNK-00185,2026-04-25,646180000006704697,646180000010189059,14353.84,Pago factura INV-00007,SPEI
BNK-00063,2026-05-02,646180000006704697,646180000007734161,65179.24,Pago factura INV-00373,SPEI
BNK-00152,2026-03-21,646180000006704697,646180000007417404,57230.92,Pago factura INV-00334,SPEI
BNK-00150,2026-06-23,646180000006704697,646180000008130117,94621.20,Pago factura INV-00111,SPEI
BNK-00209,2026-05-10,646180000006704697,646180000007813354,101326.00,Pago factura INV-00248,SPEI
BNK-00143,2026-04-15,646180000011218521,646180000006704697,5000.00,Reembolso proveedor INV-00143,SPEI
BNK-00247,2026-04-29,646180000006704697,646180000010189059,36694.28,Pago factura INV-00311,SPEI
BNK-00354,2026-01-23,646180000006704697,646180000007021450,44555.60,Pago factura INV-00307,SPEI
BNK-00382,2026-06-06,646180000006704697,646180000007971733,21520.32,Pago factura INV-00309,SPEI
BNK-00194,2026-05-24,646180000006704697,646180000007892540,83602.36,Pago factura INV-00239,SPEI
BNK-00355,2026-04-09,646180000006704697,646180000007575786,32430.12,Pago factura INV-00347,SPEI
BNK-00277,2026-04-28,646180000006704697,646180000007734161,44898.96,Pago factura INV-00186,SPEI
BNK-00296,2026-03-12,646180000006704697,646180000008605257,47430.08,Pago factura INV-00080,SPEI
BNK-00303,2026-05-21,646180000006704697,646180000010347435,66197.72,Pago factura INV-00072,SPEI
BNK-00042,2026-04-22,646180000006704697,646180000007654979,107875.36,Pago factura INV-00180,SPEI
BNK-00271,2026-02-28,646180055439863079,646180000006704697,83152.24,Ajuste de tesoreria INV-00025,SPEI
BNK-00260,2026-05-10,646180000006704697,646180000010268242,60260.84,Pago factura INV-00232,SPEI
BNK-00186,2026-03-03,646180000006704697,646180000008526064,48249.04,Pago factura INV-00286,SPEI
BNK-00051,2026-05-02,646180000006704697,646180000009001203,74374.56,Pago factura INV-00078,SPEI
BNK-00206,2026-05-24,646180000006704697,646180000009159582,38335.68,Pago factura INV-00116,SPEI
BNK-00240,2026-06-12,646180000006704697,646180000008050925,42860.84,Pago factura INV-00263,SPEI
BNK-00207,2026-04-26,646180000006704697,646180000010189059,72830.60,Pago factura INV-00010,SPEI
BNK-00272,2026-03-29,646180000006704697,646180000007496593,106083.16,Pago factura INV-00036,SPEI
BNK-00375,2026-02-18,646180000006704697,646180000008446872,14392.12,Pago factura INV-00178,SPEI
BNK-00136,2026-04-04,646180000006704697,646180000008763636,66232.52,Pago factura INV-00060,SPEI
BNK-00315,2026-06-13,646180000006704697,646180000010505811,100069.72,Pago factura INV-00273,SPEI
BNK-00077,2026-06-15,646180000006704697,646180000006783883,23722.00,Pago factura INV-00003,SPEI
BNK-00307,2026-04-20,646180000006704697,646180000007654979,82529.36,Pago factura INV-00119,SPEI
BNK-00036,2026-02-13,646180000006704697,646180000009634722,57377.08,Pago factura INV-00235,SPEI
BNK-00041,2026-02-23,646180000006704697,646180000009713915,42501.24,Pago factura INV-00319,SPEI
BNK-00149,2026-04-07,646180000006704697,646180000007575786,74133.28,Pago factura INV-00062,SPEI
BNK-00261,2026-02-09,646180000006704697,646180000009634722,108507.56,Pago factura INV-00009,SPEI
BNK-00003,2026-06-26,646180000006704697,646180000009397153,92867.28,Pago factura INV-00218,SPEI
BNK-00218,2026-05-12,646180000006704697,646180000007813354,64151.48,Pago factura INV-00168,SPEI
BNK-00089,2026-06-30,646180000006704697,646180000008209307,100494.28,Pago factura INV-00044,SPEI
BNK-00341,2026-03-25,646180000006704697,646180000008684443,60955.68,Pago factura INV-00257,SPEI
BNK-00153,2026-06-09,646180000006704697,646180000010505811,29096.28,Pago factura INV-00364,SPEI
BNK-00385,2026-04-30,646180000006704697,646180000007734161,95727.84,Pago factura INV-00032,SPEI
BNK-00193,2026-04-15,646180000006704697,646180000006783883,23722.00,Pago factura INV-00304,SPEI
BNK-00140,2026-06-30,646180000006704697,646180000010664192,25231.16,Pago factura INV-00216,SPEI
BNK-00352,2026-03-06,646180000006704697,646180000009793100,69714.84,Pago factura INV-00030,SPEI
BNK-00344,2026-03-11,646180000006704697,646180000010980957,51253.44,Pago factura INV-00308,SPEI
BNK-00213,2026-02-04,646180000006704697,646180000007100643,79892.68,Pago factura INV-00210,SPEI
BNK-00312,2026-02-21,646180000006704697,646180000009713915,24298.52,Pago factura INV-00144,SPEI
BNK-00223,2026-06-04,646180000006704697,646180000009238775,37139.72,Pago factura INV-00108,SPEI
BNK-00165,2026-01-22,646180000006704697,646180000009476346,15003.44,Pago factura INV-00291,SPEI
BNK-00327,2026-04-26,646180000006704697,646180000008922011,61596.00,Pago factura INV-00110,SPEI
BNK-00119,2026-03-24,646180000006704697,646180000009951489,60599.56,Pago factura INV-00090,SPEI
BNK-00289,2026-04-09,646180000006704697,646180000010030674,61268.88,Pago factura INV-00371,SPEI
BNK-00309,2026-05-11,646180000006704697,646180000010268242,21828.88,Pago factura INV-00071,SPEI
BNK-00364,2026-01-19,646180000006704697,646180000009476346,31441.80,Pago factura INV-00014,SPEI
BNK-00245,2026-06-19,646180000006704697,646180000009317968,79776.68,Pago factura INV-00278,SPEI
BNK-00340,2026-06-05,646180000006704697,646180000009238775,35465.84,Pago factura INV-00135,SPEI
BNK-00179,2026-02-10,646180000006704697,646180000009634722,89394.24,Pago factura INV-00316,SPEI
BNK-00038,2026-03-27,646180000006704697,646180000009951489,104438.28,Pago factura INV-00150,SPEI
BNK-00134,2026-03-18,646180000006704697,646180000007417404,18448.64,Pago factura INV-00061,SPEI
BNK-00037,2026-06-30,646180000006704697,646180000010664192,79573.68,Pago factura INV-00310,SPEI
BNK-00372,2026-02-25,646180000006704697,646180000007259028,67070.04,Pago factura INV-00041,SPEI
BNK-00135,2026-03-12,646180000006704697,646180000006942268,29997.60,Pago factura INV-00166,SPEI
BNK-00320,2026-06-07,646180000006704697,646180000009238775,66890.24,Pago factura INV-00125,SPEI
BNK-00363,2026-06-30,646180000006704697,646180000008209307,55003.72,Pago factura INV-00250,SPEI
BNK-00306,2026-04-01,646180000006704697,646180000008763636,36947.16,Pago factura INV-00118,SPEI
BNK-00054,2026-06-24,646180000006704697,646180000010585006,69480.52,Pago factura INV-00059,SPEI
BNK-00356,2026-05-17,646180000006704697,646180000009080392,35673.48,Pago factura INV-00079,SPEI
BNK-00121,2026-03-01,646180000006704697,646180000008526064,37776.56,Pago factura INV-00133,SPEI
BNK-00249,2026-03-08,646180000006704697,646180000008605257,60781.68,Pago factura INV-00049,SPEI
BNK-00383,2026-04-17,646180000006704697,646180000010109864,109194.28,Pago factura INV-00043,SPEI
BNK-00083,2026-04-27,646180000006704697,646180000010189059,30556.72,Pago factura INV-00376,SPEI
BNK-00105,2026-05-19,646180000006704697,646180000009080392,99214.80,Pago factura INV-00233,SPEI
BNK-00060,2026-03-06,646180000006704697,646180000010901761,142184.68,Pago factura INV-00122,SPEI
BNK-00232,2026-01-20,646180000006704697,646180000009476346,96080.48,Pago factura INV-00099,SPEI
BNK-00073,2026-02-04,646180000006704697,646180000008367689,78848.68,Pago factura INV-00198,SPEI
BNK-00145,2026-02-28,646180000006704697,646180000007259028,21363.72,Pago factura INV-00075,SPEI
BNK-00314,2026-05-31,646180000006704697,646180000010426628,83455.04,Pago factura INV-00126,SPEI
BNK-00010,2026-06-23,646180000006704697,646180000010585006,87031.32,Pago factura INV-00285,SPEI
BNK-00162,2026-03-15,646180000006704697,646180000007417404,79217.56,Pago factura INV-00103,SPEI
BNK-00298,2026-03-08,646180000010901761,646180007926100646,14218.46,Servicios profesionales INV-00122,SPEI
BNK-00173,2026-01-23,646180000006704697,646180000006863075,10117.06,Pago factura INV-00034,SPEI
BNK-00381,2026-04-23,646180000006704697,646180000008922011,15437.28,Pago factura INV-00212,SPEI
BNK-00066,2026-02-20,646180000006704697,646180000009713915,68485.24,Pago factura INV-00163,SPEI
BNK-00244,2026-02-25,646180015844704695,646180000006704697,71340.00,Cobro factura INV-00188,SPEI
BNK-00091,2026-06-30,646180000006704697,646180000009397153,21586.44,Pago factura INV-00162,SPEI
BNK-00255,2026-04-24,646180000006704697,646180000007654979,26496.72,Pago factura INV-00335,SPEI
BNK-00057,2026-06-16,646180000006704697,646180000009317968,90306.00,Pago factura INV-00213,SPEI
BNK-00064,2026-05-09,646180000006704697,646180000010268242,77884.72,Pago factura INV-00259,SPEI
BNK-00283,2026-04-15,646180000006704697,646180000006863075,25292.64,Pago factura INV-00296,SPEI
BNK-00050,2026-06-11,646180000006704697,646180000010505811,65274.36,Pago factura INV-00236,SPEI
BNK-00304,2026-06-30,646180000006704697,646180000009476346,14917.60,Pago factura INV-00312,SPEI
BNK-00338,2026-04-05,646180000006704697,646180000010030674,107088.88,Pago factura INV-00264,SPEI
BNK-00330,2026-06-18,646180000006704697,646180000009317968,61554.24,Pago factura INV-00320,SPEI
BNK-00176,2026-06-14,646180000006704697,646180000010505811,34764.04,Pago factura INV-00005,SPEI
BNK-00252,2026-05-08,646180000006704697,646180000010268242,44257.48,Pago factura INV-00069,SPEI
BNK-00190,2026-04-15,646180000006704697,646180000006942268,49996.00,Pago factura INV-00224,SPEI
BNK-00281,2026-04-25,646180000006704697,646180000008922011,95809.04,Pago factura INV-00200,SPEI
BNK-00068,2026-06-04,646180000006704697,646180000007971733,65515.64,Pago factura INV-00083,SPEI
BNK-00022,2026-04-13,646180000006704697,646180000008842829,14181.00,Pago factura INV-00357,SPEI
BNK-00219,2026-03-31,646180000006704697,646180000007496593,101798.12,Pago factura INV-00346,SPEI
BNK-00196,2026-04-30,646180000006704697,646180000010189059,84642.88,Pago factura INV-00147,SPEI
BNK-00362,2026-02-15,646180000006704697,646180000006863075,25292.64,Pago factura INV-00142,SPEI
BNK-00188,2026-04-23,646180000006704697,646180000007654979,91370.88,Pago factura INV-00306,SPEI
BNK-00049,2026-05-23,646180000006704697,646180000007892540,60739.92,Pago factura INV-00332,SPEI
BNK-00288,2026-05-03,646180000006704697,646180000009001203,71942.04,Pago factura INV-00171,SPEI
BNK-00079,2026-02-15,646180000006704697,646180000008446872,59438.40,Pago factura INV-00088,SPEI
BNK-00048,2026-04-20,646180000006704697,646180000010109864,37845.00,Pago factura INV-00157,SPEI
BNK-00282,2026-04-24,646180000006704697,646180000008922011,99035.00,Pago factura INV-00238,SPEI
BNK-00295,2026-06-30,646180000006704697,646180000008209307,95695.36,Pago factura INV-00215,SPEI
BNK-00305,2026-02-25,646180000006704697,646180000008526064,88603.12,Pago factura INV-00024,SPEI
BNK-00132,2026-02-16,646180000006704697,646180000008446872,60175.00,Pago factura INV-00349,SPEI
BNK-00118,2026-04-22,646180000006704697,646180000008922011,80582.88,Pago factura INV-00058,SPEI
BNK-00138,2026-05-18,646180000006704697,646180000010347435,68645.32,Pago factura INV-00367,SPEI
BNK-00203,2026-05-22,646180000006704697,646180000007892540,81857.72,Pago factura INV-00101,SPEI
BNK-00328,2026-03-22,646180000006704697,646180000008684443,62178.32,Pago factura INV-00219,SPEI
BNK-00376,2026-01-30,646180000006704697,646180000009555539,102766.72,Pago factura INV-00196,SPEI
BNK-00175,2026-03-23,646180000006704697,646180000009951489,38266.08,Pago factura INV-00002,SPEI
BNK-00321,2026-03-20,646180000006704697,646180000007417404,107022.76,Pago factura INV-00223,SPEI
BNK-00359,2026-06-06,646180000006704697,646180000009238775,36716.32,Pago factura INV-00351,SPEI
BNK-00205,2026-02-12,646180000006704697,646180000009634722,96897.12,Pago factura INV-00300,SPEI
BNK-00227,2026-06-22,646180000006704697,646180000008130117,37943.60,Pago factura INV-00164,SPEI
BNK-00267,2026-01-31,646180000006704697,646180000009555539,49015.80,Pago factura INV-00227,SPEI
BNK-00254,2026-05-09,646180000006704697,646180000007813354,19961.28,Pago factura INV-00065,SPEI
BNK-00155,2026-03-02,646180000006704697,646180000009793100,87158.92,Pago factura INV-00073,SPEI
BNK-00101,2026-05-05,646180000006704697,646180000007734161,44782.96,Pago factura INV-00362,SPEI
BNK-00104,2026-03-10,646180000006704697,646180000010980957,51078.28,Pago factura INV-00113,SPEI
BNK-00258,2026-02-03,646180000006704697,646180000008367689,32623.84,Pago factura INV-00301,SPEI
BNK-00191,2026-02-09,646180000006704697,646180000008367689,85131.24,Pago factura INV-00326,SPEI
BNK-00183,2026-02-06,646180000006704697,646180000008367689,50047.04,Pago factura INV-00337,SPEI
BNK-00102,2026-04-12,646180000006704697,646180000007575786,16582.20,Pago factura INV-00177,SPEI
BNK-00075,2026-04-21,646180000006704697,646180000007654979,93624.76,Pago factura INV-00234,SPEI
BNK-00350,2026-03-23,646180000006704697,646180000006942268,19998.40,Pago factura INV-00166,SPEI
