po_id,vendor_rfc,date,amount,requester,approver,description
PO-00044,DDB770226CGV,2026-05-06,93531.96,Fabian Rios 06 00000067,Ana Ruiz 07 00000067,Soporte y licencias de tecnologia
PO-00354,DCY740505CFI,2026-04-03,14181.00,Carla Soto 03 00000067,Diego Luna 04 00000067,Servicios de consultoria operativa
PO-00136,DDL870812CLV,2026-03-02,68354.16,Elena Mora 05 00000067,Fabian Rios 06 00000067,Soporte y licencias de tecnologia
PO-00165,DDJ850226CKV,2026-02-08,73040.56,Carla Soto 03 00000067,Diego Luna 04 00000067,Servicios de logistica y entrega
PO-00110,DDS940505CPI,2026-05-19,19551.80,Carla Soto 09 00000067,Diego Luna 10 00000067,Servicios de consultoria operativa
PO-00224,DCN930812BZV,2026-05-24,86183.36,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Mantenimiento preventivo de instalaciones
PO-00274,DDC780505CHI,2026-05-16,66575.88,Diego Luna 10 00000067,Ana Ruiz 01 00000067,Mantenimiento preventivo de instalaciones
PO-00296,DCI880505BXI,2026-04-01,27597.56,Ana Ruiz 01 00000067,Bruno Garcia 02 00000067,Mantenimiento preventivo de instalaciones
PO-00020,DCL910226BYV,2026-04-29,19961.28,Carla Soto 09 00000067,Diego Luna 10 00000067,Suministro de insumos de produccion
PO-00156,DDO900505CNI,2026-04-10,37845.00,Diego Luna 10 00000067,Ana Ruiz 01 00000067,Servicios de logistica y entrega
PO-00177,DDB770226CGV,2026-05-03,93984.36,Elena Mora 05 00000067,Fabian Rios 06 00000067,Soporte y licencias de tecnologia
PO-00135,DCT990226CCV,2026-02-04,28442.04,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Servicios de consultoria operativa
PO-00017,DCQ960505CBI,2026-06-28,96205.76,Carla Soto 09 00000067,Diego Luna 10 00000067,Suministro de insumos de produccion
PO-00355,DDS940505CPI,2026-05-22,97964.32,Diego Luna 10 00000067,Ana Ruiz 01 00000067,Servicios de consultoria operativa
PO-00144,DCS981119CCI,2026-01-29,102431.48,Ana Ruiz 01 00000067,Bruno Garcia 02 00000067,Mantenimiento preventivo de instalaciones
PO-00191,DCW721119CEI,2026-03-14,54297.28,Elena Mora 05 00000067,Fabian Rios 06 00000067,Soporte y licencias de tecnologia
PO-00058,DDV970226CQV,2026-06-23,86302.84,Fabian Rios 06 00000067,Ana Ruiz 07 00000067,Soporte y licencias de tecnologia
PO-00318,DCB810812BTV,2026-01-14,21959.96,Diego Luna 04 00000067,Elena Mora 05 00000067,Suministro de insumos de produccion
PO-00245,DDY701119CSI,2026-02-24,142184.68,Elena Mora 05 00000067,Elena Mora 05 00000067,Reparacion urgente de equipo de manufactura
PO-00005,DDG820505CJI,2026-01-12,15003.44,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Soporte y licencias de tecnologia
PO-00334,DCI880505BXI,2026-03-29,57357.36,Diego Luna 10 00000067,Ana Ruiz 01 00000067,Mantenimiento preventivo de instalaciones
PO-00319,DCA800505BTI,2026-03-05,49996.00,Elena Mora 05 00000067,Fabian Rios 06 00000067,Cuota mensual: servicios de logistica y entrega
PO-00204,DDQ921119COI,2026-05-01,21828.88,Elena Mora 05 00000067,Fabian Rios 06 00000067,Soporte y licencias de tecnologia
PO-00366,DCP950226CAV,2026-06-13,94621.20,Diego Luna 10 00000067,Ana Ruiz 01 00000067,Servicios de logistica y entrega
PO-00230,DDK860505CLI,2026-02-24,69714.84,Carla Soto 09 00000067,Diego Luna 10 00000067,Suministro de insumos de produccion
PO-00233,DCX730226CEV,2026-03-24,75937.08,Carla Soto 09 00000067,Diego Luna 10 00000067,Mantenimiento preventivo de instalaciones
PO-00092,DCR970812CBV,2026-01-16,107700.20,Fabian Rios 06 00000067,Ana Ruiz 07 00000067,Soporte y licencias de tecnologia
PO-00007,DCC821119BUI,2026-01-21,14119.52,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Soporte y licencias de tecnologia
PO-00099,DDL870812CLV,2026-03-07,46054.32,Diego Luna 10 00000067,Ana Ruiz 01 00000067,Soporte y licencias de tecnologia
PO-00126,DCE840505BVI,2026-02-12,106348.80,Carla Soto 09 00000067,Diego Luna 10 00000067,Servicios de consultoria operativa
PO-00061,DDN890226CMV,2026-03-29,98652.20,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Servicios de consultoria operativa
PO-00199,DDU961119CQI,2026-06-15,78370.76,Fabian Rios 06 00000067,Ana Ruiz 07 00000067,Suministro de insumos de produccion
PO-00153,DDV970226CQV,2026-06-20,34700.24,Elena Mora 05 00000067,Fabian Rios 06 00000067,Soporte y licencias de tecnologia
PO-00182,DCX730226CEV,2026-03-23,15939.56,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Mantenimiento preventivo de instalaciones
PO-00201,DDR930226COV,2026-05-08,68645.32,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Mantenimiento preventivo de instalaciones
PO-00248,DCV710812CDV,2026-03-04,91548.36,Ana Ruiz 01 00000067,Bruno Garcia 02 00000067,Suministro de insumos de produccion
PO-00179,DCN930812BZV,2026-05-25,65515.64,Carla Soto 09 00000067,Diego Luna 10 00000067,Mantenimiento preventivo de instalaciones
PO-00234,DDF810226CIV,2026-06-16,92867.28,Carla Soto 09 00000067,Diego Luna 10 00000067,Suministro de insumos de produccion
PO-00295,DDL870812CLV,2026-03-03,60127.44,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Soporte y licencias de tecnologia
PO-00330,DCU700505CDI,2026-02-16,97136.08,Elena Mora 05 00000067,Fabian Rios 06 00000067,Servicios de logistica y entrega
PO-00349,DDV970226CQV,2026-06-26,79573.68,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Soporte y licencias de tecnologia
PO-00048,DDH830812CJV,2026-01-21,49015.80,Carla Soto 09 00000067,Diego Luna 10 00000067,Mantenimiento preventivo de instalaciones
PO-00252,DCH870226BWV,2026-03-16,88084.60,Elena Mora 05 00000067,Fabian Rios 06 00000067,Soporte y licencias de tecnologia
PO-00325,DCR970812CBV,2026-01-17,108353.28,Carla Soto 03 00000067,Diego Luna 04 00000067,Soporte y licencias de tecnologia
PO-00310,DDG820505CJI,2026-06-27,14917.60,Diego Luna 10 00000067,Ana Ruiz 01 00000067,Soporte y licencias de tecnologia
PO-00362,DCS981119CCI,2026-01-24,32623.84,Fabian Rios 06 00000067,Ana Ruiz 07 00000067,Mantenimiento preventivo de instalaciones
PO-00194,DDO900505CNI,2026-04-06,44142.64,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Servicios de logistica y entrega
PO-00345,DCG861119BWI,2026-03-08,18448.64,Elena Mora 05 00000067,Fabian Rios 06 00000067,Suministro de insumos de produccion
PO-00067,DCD830226BUV,2026-02-02,83989.80,Elena Mora 05 00000067,Fabian Rios 06 00000067,Mantenimiento preventivo de instalaciones
PO-00091,DCT990226CCV,2026-02-07,74260.88,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Servicios de consultoria operativa
PO-00137,DDC780505CHI,2026-05-18,94071.36,Diego Luna 04 00000067,Elena Mora 05 00000067,Mantenimiento preventivo de instalaciones
PO-00363,DDS940505CPI,2026-05-18,67071.20,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Servicios de consultoria operativa
PO-00181,DCU700505CDI,2026-02-19,37776.56,Fabian Rios 06 00000067,Ana Ruiz 07 00000067,Servicios de logistica y entrega
PO-00033,DDR930226COV,2026-05-13,30337.48,Carla Soto 03 00000067,Diego Luna 04 00000067,Mantenimiento preventivo de instalaciones
PO-00214,DDQ921119COI,2026-04-28,44257.48,Diego Luna 04 00000067,Elena Mora 05 00000067,Soporte y licencias de tecnologia
PO-00052,DCU700505CDI,2026-02-20,73508.04,Carla Soto 03 00000067,Diego Luna 04 00000067,Servicios de logistica y entrega
PO-00261,DCF850812BVV,2026-02-27,81280.04,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Servicios de logistica y entrega
PO-00320,DDI841119CKI,2026-02-01,64436.84,Diego Luna 10 00000067,Ana Ruiz 01 00000067,Servicios de consultoria operativa
PO-00176,DCS981119CCI,2026-01-26,108576.00,Diego Luna 10 00000067,Ana Ruiz 01 00000067,Mantenimiento preventivo de instalaciones
PO-00152,DCO941119CAI,2026-06-07,58887.40,Diego Luna 04 00000067,Elena Mora 05 00000067,Servicios de consultoria operativa
PO-00169,DCJ890812BXV,2026-04-10,82529.36,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Servicios de consultoria operativa
PO-00250,DDO900505CNI,2026-04-08,53607.08,Fabian Rios 06 00000067,Ana Ruiz 07 00000067,Servicios de logistica y entrega
PO-00304,DDD790812CHV,2026-05-26,35465.84,Diego Luna 04 00000067,Elena Mora 05 00000067,Servicios de consultoria operativa
PO-00273,DCK901119BYI,2026-04-22,65179.24,Fabian Rios 06 00000067,Ana Ruiz 07 00000067,Servicios de logistica y entrega
PO-00271,DCT990226CCV,2026-02-09,67208.08,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Servicios de consultoria operativa
PO-00094,DCJ890812BXV,2026-04-07,56191.56,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Servicios de consultoria operativa
PO-00096,DCB810812BTV,2026-01-11,90459.12,Carla Soto 03 00000067,Diego Luna 04 00000067,Suministro de insumos de produccion
PO-00301,DDT950812CPV,2026-05-29,49774.44,Carla Soto 03 00000067,Diego Luna 04 00000067,Servicios de logistica y entrega
PO-00120,DDF810226CIV,2026-06-21,75586.76,Diego Luna 04 00000067,Elena Mora 05 00000067,Suministro de insumos de produccion
PO-00117,DDJ850226CKV,2026-02-10,68485.24,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Servicios de logistica y entrega
PO-00138,DDU961119CQI,2026-06-13,87031.32,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Suministro de insumos de produccion
PO-00109,DCT990226CCV,2026-02-08,14392.12,Elena Mora 05 00000067,Fabian Rios 06 00000067,Servicios de consultoria operativa
PO-00046,DCN930812BZV,2026-05-23,105152.84,Elena Mora 05 00000067,Fabian Rios 06 00000067,Mantenimiento preventivo de instalaciones
PO-00103,DCZ750812CFV,2026-04-12,80582.88,Diego Luna 10 00000067,Ana Ruiz 01 00000067,Servicios de logistica y entrega
PO-00111,DDZ710226CSV,2026-02-28,51078.28,Fabian Rios 06 00000067,Fabian Rios 06 00000067,Paquete integrado de adecuacion de planta zona norte
PO-00286,DCE840505BVI,2026-02-16,17564.72,Ana Ruiz 07 00000067,Bruno Garcia 08 00000067,Servicios de consultoria operativa
PO-00258,DDC780505CHI,2026-05-19,55400.44,Ana Ruiz 01 00000067,Bruno Garcia 02 00000067,Mantenimiento preventivo de instalaciones
PO-00113,DCK901119BYI,2026-04-20,95727.84,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Servicios de logistica y entrega
PO-00290,DDS940505CPI,2026-05-24,19936.92,Diego Luna 04 00000067,Elena Mora 05 00000067,Servicios de consultoria operativa
PO-00100,DDK860505CLI,2026-02-19,20129.48,Diego Luna 04 00000067,Elena Mora 05 00000067,Suministro de insumos de produccion
PO-00244,DDD790812CHV,2026-05-30,77461.32,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Servicios de consultoria operativa
PO-00180,DBY781119BSI,2026-05-05,23722.00,Elena Mora 05 00000067,Fabian Rios 06 00000067,Cuota mensual: mantenimiento preventivo de instalaciones
PO-00255,DDA761119CGI,2026-04-22,74374.56,Diego Luna 04 00000067,Elena Mora 05 00000067,Suministro de insumos de produccion
PO-00045,DCG861119BWI,2026-03-09,47127.32,Bruno Garcia 02 00000067,Carla Soto 03 00000067,Suministro de insumos de produccion
PO-00009,DDR930226COV,2026-05-07,81146.64,Ana Ruiz 01 00000067,Bruno Garcia 02 00000067,Mantenimiento preventivo de instalaciones
PO-00278,DDA761119CGI,2026-04-27,95155.96,Carla Soto 09 00000067,Diego Luna 10 00000067,Suministro de insumos de produccion
PO-00226,DDM881119CMI,2026-03-13,38266.08,Fabian Rios 06 00000067,Ana Ruiz 07 00000067,Mantenimiento preventivo de instalaciones
PO-00328,DBY781119BSI,2026-01-05,23722.00,Ana Ruiz 01 00000067,Bruno Garcia 02 00000067,Cuota mensual: mantenimiento preventivo de instalaciones
PO-00014,DDM881119CMI,2026-03-14,60599.56,Carla Soto 03 00000067,Diego Luna 04 00000067,Mantenimiento preventivo de instalaciones
PO-00202,DCN930812BZV,2026-05-22,34259.44,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Mantenimiento preventivo de instalaciones
PO-00127,DCG861119BWI,2026-03-06,80709.32,Ana Ruiz 01 00000067,Bruno Garcia 02 00000067,Suministro de insumos de produccion
PO-00130,DCX730226CEV,2026-03-21,23493.48,Bruno Garcia 08 00000067,Carla Soto 09 00000067,Mantenimiento preventivo de instalaciones
PO-00205,DDA761119CGI,2026-04-25,37726.68,Elena Mora 05 00000067,Fabian Rios 06 00000067,Suministro de insumos de produccion
PO-00015,DCB810812BTV,2026-01-09,76011.32,Carla Soto 09 00000067,Diego Luna 10 00000067,Suministro de insumos de produccion
PO-00341,DCL910226BYV,2026-04-30,101326.00,Fabian Rios 06 00000067,Ana Ruiz 07 00000067,Suministro de insumos de produccion
PO-00353,DBZ790226BSV,2026-03-05,25292.64,Carla Soto 09 00000067,Diego Luna 10 00000067,Cuota mensual: servicios de consultoria operativa
PO-00051,DCD830226BUV,2026-01-31,77062.28,Ana Ruiz 01 00000067,Bruno Garcia 02 00000067,Mantenimiento preventivo de instalaciones
PO-00172,DCU700505CDI,2026-02-21,48249.04,Diego Luna 10 00000067,Ana Ruiz 01 00000067,Servicios de logistica y entrega
PO-00352,DCS981119CCI,2026-01-28,19469.44,Diego Luna 04 00000067,Elena Mora 05 00000067,Mantenimiento preventivo de instalaciones
PO-00164,DCA800505BTI,2026-04-05,49996.00,Fabian Rios 06 00000067,Ana Ruiz 07 00000067,Cuota mensual: servicios de logistica y entrega
PO-00357,DDS940505CPI,2026-05-21,83455.04,Carla Soto 03 00000067,Diego Luna 04 00000067,Servicios de consultoria operativa
PO-00254,DDV970226CQV,2026-06-24,108124.76,Carla Soto 03 00000067,Diego Luna 04 00000067,Soporte y licencias de tecnologia
